"RT @ajithism_offl: Get ready to witness the First Look of #Viswasam 🔥 in few hours 

First Look Posters of #Thala #Ajith - @directorsiva Mo…"
"Current scenario#ViswasamFirstLook https://t.co/ehvg0VkkUu"
"RT @THALA_Fanatics: #ViswasamFirstLook

Still trending in India with 270k tweets... https://t.co/nF0WDUODzT"
"Waiting for my bro thala Ajith  #ViswasamFirstLook"
"Very much excited #ViswasamFirstLook"
